Logging
ITERATION 475.0000 | TOTAL G LOSS -3.9735
ITERATION 476.0000 | TOTAL G LOSS -4.2008
ITERATION 477.0000 | TOTAL G LOSS -2.3144
ITERATION 478.0000 | TOTAL G LOSS -3.5134
ITERATION 479.0000 | TOTAL G LOSS -2.9985
ITERATION 480.0000 | TOTAL G LOSS -2.9311
ITERATION 481.0000 | TOTAL G LOSS -3.5239
ITERATION 482.0000 | TOTAL G LOSS -2.3418
ITERATION 483.0000 | TOTAL G LOSS -4.6014
ITERATION 484.0000 | TOTAL G LOSS -4.0672
ITERATION 485.0000 | TOTAL G LOSS -4.0345
ITERATION 486.0000 | TOTAL G LOSS -2.9807
ITERATION 487.0000 | TOTAL G LOSS -2.9167
ITERATION 488.0000 | TOTAL G LOSS -3.8589
ITERATION 489.0000 | TOTAL G LOSS -5.1474
ITERATION 490.0000 | TOTAL G LOSS -3.6708
ITERATION 491.0000 | TOTAL G LOSS -2.2726
ITERATION 492.0000 | TOTAL G LOSS -4.0399
ITERATION 493.0000 | TOTAL G LOSS -3.9745
ITERATION 494.0000 | TOTAL G LOSS -4.3985
ITERATION 495.0000 | TOTAL G LOSS -2.7864
ITERATION 496.0000 | TOTAL G LOSS -2.8191
ITERATION 497.0000 | TOTAL G LOSS -3.4552
ITERATION 498.0000 | TOTAL G LOSS -4.9246
