Logging
iteration 12850 | D LOSS = 1.1797 | G LOSS = -2356201191521648640.0000 | AVG R =0.3974 |  
iteration 12900 | D LOSS = 1.1811 | G LOSS = -2345540051900825600.0000 | AVG R =0.3988 |  
iteration 12950 | D LOSS = 1.1774 | G LOSS = -3004979022607155200.0000 | AVG R =0.3995 |  
iteration 13000 | D LOSS = 1.1848 | G LOSS = -2998212078294007808.0000 | AVG R =0.3986 |  
iteration 13050 | D LOSS = 1.1808 | G LOSS = -2523205188030824448.0000 | AVG R =0.4006 |  
iteration 13100 | D LOSS = 1.1817 | G LOSS = -3083573763028025344.0000 | AVG R =0.3983 |  
iteration 13150 | D LOSS = 1.1810 | G LOSS = -4128554836746567680.0000 | AVG R =0.3988 |  
iteration 13200 | D LOSS = 1.1838 | G LOSS = -3447424975525380096.0000 | AVG R =0.3996 |  
iteration 13250 | D LOSS = 1.1832 | G LOSS = -4565992514200272896.0000 | AVG R =0.4008 |  
iteration 13300 | D LOSS = 1.1846 | G LOSS = -4618808654752120832.0000 | AVG R =0.3999 |  
iteration 13350 | D LOSS = 1.1835 | G LOSS = -6134223749873926144.0000 | AVG R =0.4008 |  
iteration 13400 | D LOSS = 1.1842 | G LOSS = -4612936163148169216.0000 | AVG R =0.4011 |  
iteration 13450 | D LOSS = 1.1824 | G LOSS = -5218683507169034240.0000 | AVG R =0.3995 |  
iteration 13500 | D LOSS = 1.1836 | G LOSS = -7649120975019048960.0000 | AVG R =0.4015 |  
iteration 13550 | D LOSS = 1.1857 | G LOSS = -5326453238877126656.0000 | AVG R =0.3997 |  
iteration 13600 | D LOSS = 1.1816 | G LOSS = -7309093705594437632.0000 | AVG R =0.4009 |  
iteration 13650 | D LOSS = 1.1850 | G LOSS = -8167572593352638464.0000 | AVG R =0.4011 |  
iteration 13700 | D LOSS = 1.1859 | G LOSS = -7445360029915414528.0000 | AVG R =0.4009 |  
iteration 13750 | D LOSS = 1.1881 | G LOSS = -7969819929538985984.0000 | AVG R =0.4014 |  
iteration 13800 | D LOSS = 1.1885 | G LOSS = -9930322829142654976.0000 | AVG R =0.4037 |  
iteration 13850 | D LOSS = 1.1804 | G LOSS = -9280314644545667072.0000 | AVG R =0.3961 |  
iteration 13900 | D LOSS = 1.1982 | G LOSS = -11668965172982054912.0000 | AVG R =0.4033 |  
iteration 13950 | D LOSS = 1.1849 | G LOSS = -10706353737980444672.0000 | AVG R =0.4025 |  
