Logging
iteration 10550 | D LOSS = 1.3764 | G LOSS = -0.0301 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 10600 | D LOSS = 1.3768 | G LOSS = -0.0443 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 10650 | D LOSS = 1.3762 | G LOSS = -0.0274 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 10700 | D LOSS = 1.3748 | G LOSS = -0.0509 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 10750 | D LOSS = 1.3757 | G LOSS = -0.0383 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 10800 | D LOSS = 1.3763 | G LOSS = -0.0508 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 10850 | D LOSS = 1.3770 | G LOSS = -0.0519 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 10900 | D LOSS = 1.3763 | G LOSS = -0.0390 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 10950 | D LOSS = 1.3766 | G LOSS = -0.0425 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 11000 | D LOSS = 1.3759 | G LOSS = -0.0354 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 11050 | D LOSS = 1.3761 | G LOSS = -0.0347 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 11100 | D LOSS = 1.3773 | G LOSS = -0.0324 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 11150 | D LOSS = 1.3775 | G LOSS = -0.0246 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 11200 | D LOSS = 1.3762 | G LOSS = -0.0270 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 11250 | D LOSS = 1.3751 | G LOSS = -0.0367 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 11300 | D LOSS = 1.3771 | G LOSS = -0.0407 | AVG R =0.4944 | mean_pen: 0.0000 |  
iteration 11350 | D LOSS = 1.3758 | G LOSS = -0.0427 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 11400 | D LOSS = 1.3761 | G LOSS = -0.0312 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 11450 | D LOSS = 1.3759 | G LOSS = -0.0312 | AVG R =0.4944 | mean_pen: 0.0000 |  
iteration 11500 | D LOSS = 1.3761 | G LOSS = -0.0251 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 11550 | D LOSS = 1.3748 | G LOSS = -0.0493 | AVG R =0.4939 | mean_pen: 0.0000 |  
iteration 11600 | D LOSS = 1.3740 | G LOSS = -0.0419 | AVG R =0.4944 | mean_pen: 0.0000 |  
