Logging
ITERATION 474.0000 | TOTAL G LOSS -0.6567
ITERATION 475.0000 | TOTAL G LOSS 1.7642
ITERATION 476.0000 | TOTAL G LOSS 2.4883
ITERATION 477.0000 | TOTAL G LOSS 0.0032
ITERATION 478.0000 | TOTAL G LOSS 0.0412
ITERATION 479.0000 | TOTAL G LOSS 0.7065
ITERATION 480.0000 | TOTAL G LOSS 0.6484
ITERATION 481.0000 | TOTAL G LOSS -0.0502
ITERATION 482.0000 | TOTAL G LOSS -0.0967
ITERATION 483.0000 | TOTAL G LOSS 1.2936
ITERATION 484.0000 | TOTAL G LOSS 2.0494
ITERATION 485.0000 | TOTAL G LOSS 1.2881
ITERATION 486.0000 | TOTAL G LOSS -0.2075
ITERATION 487.0000 | TOTAL G LOSS -1.1715
ITERATION 488.0000 | TOTAL G LOSS -0.2163
ITERATION 489.0000 | TOTAL G LOSS 1.3342
ITERATION 490.0000 | TOTAL G LOSS -0.1262
ITERATION 491.0000 | TOTAL G LOSS 0.0130
ITERATION 492.0000 | TOTAL G LOSS -0.6213
ITERATION 493.0000 | TOTAL G LOSS -0.7281
ITERATION 494.0000 | TOTAL G LOSS -1.4773
ITERATION 495.0000 | TOTAL G LOSS 0.8851
ITERATION 496.0000 | TOTAL G LOSS 0.6246
ITERATION 497.0000 | TOTAL G LOSS 1.4986
ITERATION 498.0000 | TOTAL G LOSS 0.2735
