Logging
iteration 14300 | D LOSS = 1.3503 | G LOSS = -1.6331 | AVG R =0.4825 |  
iteration 14350 | D LOSS = 1.3511 | G LOSS = -0.0307 | AVG R =0.4832 |  
iteration 14400 | D LOSS = 1.3514 | G LOSS = -0.0240 | AVG R =0.4824 |  
iteration 14450 | D LOSS = 1.3510 | G LOSS = -1.1152 | AVG R =0.4827 |  
iteration 14500 | D LOSS = 1.3524 | G LOSS = -1.2983 | AVG R =0.4833 |  
iteration 14550 | D LOSS = 1.3522 | G LOSS = -1.0360 | AVG R =0.4827 |  
iteration 14600 | D LOSS = 1.3526 | G LOSS = -1.2053 | AVG R =0.4825 |  
iteration 14650 | D LOSS = 1.3528 | G LOSS = -0.1025 | AVG R =0.4833 |  
iteration 14700 | D LOSS = 1.3504 | G LOSS = -1.3456 | AVG R =0.4829 |  
iteration 14750 | D LOSS = 1.3544 | G LOSS = -0.8805 | AVG R =0.4828 |  
iteration 14800 | D LOSS = 1.3539 | G LOSS = -1.6878 | AVG R =0.4833 |  
