Logging
ITERATION 411.0000 | TOTAL G LOSS 0.3911
ITERATION 412.0000 | TOTAL G LOSS 1.5809
ITERATION 413.0000 | TOTAL G LOSS 1.4481
ITERATION 414.0000 | TOTAL G LOSS 2.3538
ITERATION 415.0000 | TOTAL G LOSS 0.4590
ITERATION 416.0000 | TOTAL G LOSS 0.6403
ITERATION 417.0000 | TOTAL G LOSS -0.6121
ITERATION 418.0000 | TOTAL G LOSS -0.9354
ITERATION 419.0000 | TOTAL G LOSS 0.7735
ITERATION 420.0000 | TOTAL G LOSS 0.9610
ITERATION 421.0000 | TOTAL G LOSS 2.7896
ITERATION 422.0000 | TOTAL G LOSS 0.0845
ITERATION 423.0000 | TOTAL G LOSS 0.3298
ITERATION 424.0000 | TOTAL G LOSS -0.0733
ITERATION 425.0000 | TOTAL G LOSS 0.0654
ITERATION 426.0000 | TOTAL G LOSS 0.6771
ITERATION 427.0000 | TOTAL G LOSS 0.4120
ITERATION 428.0000 | TOTAL G LOSS 0.3466
ITERATION 429.0000 | TOTAL G LOSS 0.0433
ITERATION 430.0000 | TOTAL G LOSS 4.9413
ITERATION 431.0000 | TOTAL G LOSS 1.3511
ITERATION 432.0000 | TOTAL G LOSS -1.1837
ITERATION 433.0000 | TOTAL G LOSS -1.0831
ITERATION 434.0000 | TOTAL G LOSS 1.5075
ITERATION 435.0000 | TOTAL G LOSS 3.6118
ITERATION 436.0000 | TOTAL G LOSS -0.1144
ITERATION 437.0000 | TOTAL G LOSS -0.0783
ITERATION 438.0000 | TOTAL G LOSS -0.7718
ITERATION 439.0000 | TOTAL G LOSS -1.2782
ITERATION 440.0000 | TOTAL G LOSS 0.1971
ITERATION 441.0000 | TOTAL G LOSS -0.6624
ITERATION 442.0000 | TOTAL G LOSS -0.2320
ITERATION 443.0000 | TOTAL G LOSS -0.1505
ITERATION 444.0000 | TOTAL G LOSS 1.5403
ITERATION 445.0000 | TOTAL G LOSS 1.3985
ITERATION 446.0000 | TOTAL G LOSS -0.3305
ITERATION 447.0000 | TOTAL G LOSS 2.3026
ITERATION 448.0000 | TOTAL G LOSS -0.1555
ITERATION 449.0000 | TOTAL G LOSS 0.4232
ITERATION 450.0000 | TOTAL G LOSS -1.2654
ITERATION 451.0000 | TOTAL G LOSS -2.1820
ITERATION 452.0000 | TOTAL G LOSS 0.0390
ITERATION 453.0000 | TOTAL G LOSS 0.3768
ITERATION 454.0000 | TOTAL G LOSS 0.9953
ITERATION 455.0000 | TOTAL G LOSS 0.8439
ITERATION 456.0000 | TOTAL G LOSS 1.0076
ITERATION 457.0000 | TOTAL G LOSS -0.3117
ITERATION 458.0000 | TOTAL G LOSS 0.1484
ITERATION 459.0000 | TOTAL G LOSS -0.5435
ITERATION 460.0000 | TOTAL G LOSS 1.6365
