Logging
iteration 7450 | D LOSS = 1.3468 | G LOSS = 0.0345 | AVG R =0.4806 | mean_pen: 0.0003 |  
iteration 7500 | D LOSS = 1.3465 | G LOSS = 0.0263 | AVG R =0.4818 | mean_pen: 0.0002 |  
iteration 7550 | D LOSS = 1.3470 | G LOSS = 0.0274 | AVG R =0.4818 | mean_pen: 0.0002 |  
iteration 7600 | D LOSS = 1.3506 | G LOSS = 0.0200 | AVG R =0.4816 | mean_pen: 0.0003 |  
iteration 7650 | D LOSS = 1.3476 | G LOSS = 0.0149 | AVG R =0.4808 | mean_pen: 0.0002 |  
iteration 7700 | D LOSS = 1.3480 | G LOSS = 0.0186 | AVG R =0.4819 | mean_pen: 0.0003 |  
iteration 7750 | D LOSS = 1.3481 | G LOSS = 0.0159 | AVG R =0.4819 | mean_pen: 0.0003 |  
iteration 7800 | D LOSS = 1.3498 | G LOSS = 0.0193 | AVG R =0.4816 | mean_pen: 0.0003 |  
iteration 7850 | D LOSS = 1.3508 | G LOSS = 0.0179 | AVG R =0.4814 | mean_pen: 0.0003 |  
iteration 7900 | D LOSS = 1.3494 | G LOSS = 0.0138 | AVG R =0.4815 | mean_pen: 0.0003 |  
iteration 7950 | D LOSS = 1.3495 | G LOSS = 0.0197 | AVG R =0.4821 | mean_pen: 0.0003 |  
iteration 8000 | D LOSS = 1.3485 | G LOSS = 0.0146 | AVG R =0.4811 | mean_pen: 0.0002 |  
iteration 8050 | D LOSS = 1.3481 | G LOSS = 0.0139 | AVG R =0.4819 | mean_pen: 0.0002 |  
iteration 8100 | D LOSS = 1.3477 | G LOSS = 0.0143 | AVG R =0.4823 | mean_pen: 0.0002 |  
iteration 8150 | D LOSS = 1.3488 | G LOSS = 0.0160 | AVG R =0.4814 | mean_pen: 0.0002 |  
iteration 8200 | D LOSS = 1.3488 | G LOSS = 0.0167 | AVG R =0.4809 | mean_pen: 0.0002 |  
iteration 8250 | D LOSS = 1.3498 | G LOSS = 0.0178 | AVG R =0.4825 | mean_pen: 0.0003 |  
iteration 8300 | D LOSS = 1.3495 | G LOSS = 0.0136 | AVG R =0.4805 | mean_pen: 0.0002 |  
iteration 8350 | D LOSS = 1.3467 | G LOSS = 0.0136 | AVG R =0.4801 | mean_pen: 0.0003 |  
iteration 8400 | D LOSS = 1.3517 | G LOSS = 0.0148 | AVG R =0.4806 | mean_pen: 0.0002 |  
iteration 8450 | D LOSS = 1.3508 | G LOSS = 0.0167 | AVG R =0.4816 | mean_pen: 0.0002 |  
iteration 8500 | D LOSS = 1.3487 | G LOSS = 0.0169 | AVG R =0.4836 | mean_pen: 0.0002 |  
iteration 8550 | D LOSS = 1.3527 | G LOSS = 0.0194 | AVG R =0.4831 | mean_pen: 0.0003 |  
iteration 8600 | D LOSS = 1.3516 | G LOSS = 0.0206 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 8650 | D LOSS = 1.3516 | G LOSS = 0.0174 | AVG R =0.4829 | mean_pen: 0.0002 |  
iteration 8700 | D LOSS = 1.3521 | G LOSS = 0.0227 | AVG R =0.4833 | mean_pen: 0.0002 |  
iteration 8750 | D LOSS = 1.3574 | G LOSS = 0.0248 | AVG R =0.4846 | mean_pen: 0.0003 |  
iteration 8800 | D LOSS = 1.3571 | G LOSS = 0.0198 | AVG R =0.4850 | mean_pen: 0.0002 |  
iteration 8850 | D LOSS = 1.3579 | G LOSS = 0.0281 | AVG R =0.4864 | mean_pen: 0.0003 |  
iteration 8900 | D LOSS = 1.3577 | G LOSS = 0.0290 | AVG R =0.4858 | mean_pen: 0.0002 |  
iteration 8950 | D LOSS = 1.3585 | G LOSS = 0.0291 | AVG R =0.4865 | mean_pen: 0.0003 |  
iteration 9000 | D LOSS = 1.3591 | G LOSS = 0.0291 | AVG R =0.4870 | mean_pen: 0.0002 |  
iteration 9050 | D LOSS = 1.3596 | G LOSS = 0.0333 | AVG R =0.4853 | mean_pen: 0.0002 |  
iteration 9100 | D LOSS = 1.3597 | G LOSS = 0.0257 | AVG R =0.4858 | mean_pen: 0.0002 |  
iteration 9150 | D LOSS = 1.3595 | G LOSS = 0.0297 | AVG R =0.4863 | mean_pen: 0.0002 |  
iteration 9200 | D LOSS = 1.3576 | G LOSS = 0.0251 | AVG R =0.4848 | mean_pen: 0.0006 |  
iteration 9250 | D LOSS = 1.3584 | G LOSS = 0.0267 | AVG R =0.4865 | mean_pen: 0.0003 |  
iteration 9300 | D LOSS = 1.3595 | G LOSS = 0.0226 | AVG R =0.4864 | mean_pen: 0.0002 |  
iteration 9350 | D LOSS = 1.3603 | G LOSS = 0.0225 | AVG R =0.4865 | mean_pen: 0.0003 |  
iteration 9400 | D LOSS = 1.3602 | G LOSS = 0.0243 | AVG R =0.4870 | mean_pen: 0.0002 |  
iteration 9450 | D LOSS = 1.3607 | G LOSS = 0.0244 | AVG R =0.4876 | mean_pen: 0.0002 |  
iteration 9500 | D LOSS = 1.3596 | G LOSS = 0.0217 | AVG R =0.4879 | mean_pen: 0.0002 |  
iteration 9550 | D LOSS = 1.3608 | G LOSS = 0.0226 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 9600 | D LOSS = 1.3618 | G LOSS = 0.0224 | AVG R =0.4878 | mean_pen: 0.0003 |  
iteration 9650 | D LOSS = 1.3621 | G LOSS = 0.0248 | AVG R =0.4876 | mean_pen: 0.0002 |  
iteration 9700 | D LOSS = 1.3624 | G LOSS = 0.0185 | AVG R =0.4880 | mean_pen: 0.0002 |  
iteration 9750 | D LOSS = 1.3623 | G LOSS = 0.0210 | AVG R =0.4881 | mean_pen: 0.0002 |  
iteration 9800 | D LOSS = 1.3618 | G LOSS = 0.0198 | AVG R =0.4877 | mean_pen: 0.0002 |  
