Logging
iteration 9550 | D LOSS = 1.3804 | G LOSS = 0.7042 | mean_pen: 0.0001 |  
iteration 9600 | D LOSS = 1.3778 | G LOSS = 0.7032 | mean_pen: 0.0001 |  
iteration 9650 | D LOSS = 1.3777 | G LOSS = 0.7050 | mean_pen: 0.0001 |  
iteration 9700 | D LOSS = 1.3800 | G LOSS = 0.7008 | mean_pen: 0.0001 |  
iteration 9750 | D LOSS = 1.3771 | G LOSS = 0.7030 | mean_pen: 0.0001 |  
iteration 9800 | D LOSS = 1.3774 | G LOSS = 0.7027 | mean_pen: 0.0001 |  
iteration 9850 | D LOSS = 1.3785 | G LOSS = 0.6996 | mean_pen: 0.0001 |  
iteration 9900 | D LOSS = 1.3793 | G LOSS = 0.7041 | mean_pen: 0.0001 |  
iteration 9950 | D LOSS = 1.3783 | G LOSS = 0.6988 | mean_pen: 0.0001 |  
iteration 10000 | D LOSS = 1.3802 | G LOSS = 0.6988 | mean_pen: 0.0001 |  
iteration 10050 | D LOSS = 1.3771 | G LOSS = 0.7032 | mean_pen: 0.0001 |  
iteration 10100 | D LOSS = 1.3782 | G LOSS = 0.7052 | mean_pen: 0.0001 |  
iteration 10150 | D LOSS = 1.3791 | G LOSS = 0.6971 | mean_pen: 0.0001 |  
iteration 10200 | D LOSS = 1.3788 | G LOSS = 0.7020 | mean_pen: 0.0001 |  
iteration 10250 | D LOSS = 1.3784 | G LOSS = 0.7037 | mean_pen: 0.0001 |  
iteration 10300 | D LOSS = 1.3776 | G LOSS = 0.7031 | mean_pen: 0.0001 |  
iteration 10350 | D LOSS = 1.3806 | G LOSS = 0.6991 | mean_pen: 0.0001 |  
iteration 10400 | D LOSS = 1.3796 | G LOSS = 0.7003 | mean_pen: 0.0000 |  
iteration 10450 | D LOSS = 1.3788 | G LOSS = 0.6985 | mean_pen: 0.0000 |  
iteration 10500 | D LOSS = 1.3807 | G LOSS = 0.6996 | mean_pen: 0.0000 |  
iteration 10550 | D LOSS = 1.3798 | G LOSS = 0.6996 | mean_pen: 0.0001 |  
iteration 10600 | D LOSS = 1.3793 | G LOSS = 0.6997 | mean_pen: 0.0001 |  
iteration 10650 | D LOSS = 1.3785 | G LOSS = 0.7001 | mean_pen: 0.0001 |  
iteration 10700 | D LOSS = 1.3801 | G LOSS = 0.7027 | mean_pen: 0.0001 |  
