Logging
iteration 12600 | D LOSS = 1.1903 | G LOSS = -918686082910912512.0000 | AVG R =0.4010 |  
iteration 12650 | D LOSS = 1.1904 | G LOSS = -1053346158182662144.0000 | AVG R =0.4010 |  
iteration 12700 | D LOSS = 1.1869 | G LOSS = -1322993138557517824.0000 | AVG R =0.4021 |  
iteration 12750 | D LOSS = 1.1872 | G LOSS = -1331030843434467328.0000 | AVG R =0.4006 |  
iteration 12800 | D LOSS = 1.1860 | G LOSS = -1648712188291973120.0000 | AVG R =0.3984 |  
iteration 12850 | D LOSS = 1.1830 | G LOSS = -1789678100187971584.0000 | AVG R =0.3998 |  
iteration 12900 | D LOSS = 1.1912 | G LOSS = -1533106512090628096.0000 | AVG R =0.4023 |  
iteration 12950 | D LOSS = 1.1847 | G LOSS = -1871245920050348032.0000 | AVG R =0.3991 |  
iteration 13000 | D LOSS = 1.1972 | G LOSS = -2031866701804470272.0000 | AVG R =0.4107 |  
iteration 13050 | D LOSS = 1.1835 | G LOSS = -2344938619040432128.0000 | AVG R =0.4037 |  
iteration 13100 | D LOSS = 1.1916 | G LOSS = -2055321208970280960.0000 | AVG R =0.4053 |  
iteration 13150 | D LOSS = 1.1844 | G LOSS = -2377041609792421888.0000 | AVG R =0.3993 |  
iteration 13200 | D LOSS = 1.1833 | G LOSS = -2503977753317998592.0000 | AVG R =0.3985 |  
iteration 13250 | D LOSS = 1.1915 | G LOSS = -2580452635320516608.0000 | AVG R =0.4045 |  
iteration 13300 | D LOSS = 1.1890 | G LOSS = -3683966485421621248.0000 | AVG R =0.4019 |  
iteration 13350 | D LOSS = 1.1906 | G LOSS = -3319873105488248832.0000 | AVG R =0.4022 |  
iteration 13400 | D LOSS = 1.2015 | G LOSS = -2971444467715801088.0000 | AVG R =0.4068 |  
iteration 13450 | D LOSS = 1.2092 | G LOSS = -1974902516197883904.0000 | AVG R =0.4101 |  
iteration 13500 | D LOSS = 1.1940 | G LOSS = -4056132204848218112.0000 | AVG R =0.4047 |  
iteration 13550 | D LOSS = 1.1891 | G LOSS = -4675070664745418752.0000 | AVG R =0.3981 |  
iteration 13600 | D LOSS = 1.2039 | G LOSS = -4513540311997218816.0000 | AVG R =0.4087 |  
iteration 13650 | D LOSS = 1.2010 | G LOSS = -5265027922279792640.0000 | AVG R =0.4105 |  
iteration 13700 | D LOSS = 1.2031 | G LOSS = -4430449943408279552.0000 | AVG R =0.4102 |  
iteration 13750 | D LOSS = 1.2005 | G LOSS = -3371800840644853760.0000 | AVG R =0.4030 |  
iteration 13800 | D LOSS = 1.1869 | G LOSS = -6906966569188851712.0000 | AVG R =0.4020 |  
iteration 13850 | D LOSS = 1.1939 | G LOSS = -6192895339599495168.0000 | AVG R =0.4033 |  
iteration 13900 | D LOSS = 1.1930 | G LOSS = -7606517648221798400.0000 | AVG R =0.4042 |  
iteration 13950 | D LOSS = 1.1875 | G LOSS = -8672396864571572224.0000 | AVG R =0.4008 |  
iteration 14000 | D LOSS = 1.1921 | G LOSS = -7721691491231334400.0000 | AVG R =0.4042 |  
